system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,1.000,0.999,0.999,1.000,0.999,0.999,0.999,1.000,0.999,0.999,0.999,0.999
baseline,dev,0.548,0.521,0.534,0.418,0.500,0.455,0.552,0.522,0.536,0.506,0.514,0.508
baseline,test,0.552,0.550,0.551,0.439,0.544,0.486,0.582,0.522,0.550,0.524,0.539,0.529
improved,train,0.999,1.000,0.999,1.000,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
improved,dev,0.675,0.565,0.615,0.638,0.400,0.492,0.590,0.758,0.664,0.634,0.574,0.590
improved,test,0.699,0.575,0.631,0.628,0.433,0.513,0.613,0.772,0.683,0.647,0.593,0.609
system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
baseline,dev,0.536,0.563,0.549,0.459,0.511,0.484,0.584,0.535,0.558,0.526,0.536,0.530
baseline,test,0.545,0.538,0.542,0.454,0.545,0.496,0.579,0.533,0.555,0.526,0.539,0.531
improved,train,0.999,1.000,0.999,1.000,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
improved,dev,0.698,0.589,0.639,0.625,0.408,0.494,0.608,0.768,0.678,0.644,0.588,0.604
improved,test,0.690,0.565,0.621,0.624,0.429,0.508,0.607,0.766,0.677,0.640,0.587,0.602
system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
baseline,dev,0.572,0.539,0.555,0.439,0.510,0.472,0.550,0.531,0.540,0.520,0.527,0.522
baseline,test,0.556,0.526,0.541,0.433,0.537,0.479,0.578,0.537,0.557,0.522,0.534,0.526
improved,train,0.999,0.999,0.999,1.000,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
improved,dev,0.709,0.591,0.645,0.655,0.421,0.513,0.613,0.778,0.685,0.659,0.597,0.614
improved,test,0.696,0.567,0.625,0.627,0.440,0.517,0.612,0.770,0.682,0.645,0.592,0.608
